English Word,Arabic Translation (Google Translate),Basque Translation (Google Translate),Bengali Translation (Google Translate),Catalan Translation (Google Translate),Chinese (simplified) Translation (Google Translate),Chinese (traditional) Translation (Google Translate),Dutch Translation (Google Translate),Finnish Translation (Google Translate),French Translation (Google Translate),German Translation (Google Translate),Hindi Translation (Google Translate),Italian Translation (Google Translate),Japanese Translation (Google Translate),Marathi Translation (Google Translate),Persian Translation (Google Translate),Portuguese Translation (Google Translate),Romanian Translation (Google Translate),Russian Translation (Google Translate),Spanish Translation (Google Translate),Tamil Translation (Google Translate),Telugu Translation (Google Translate),Urdu Translation (Google Translate),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
aberration,انحراف,aberrazio,স্খলন,aberració,像差,像差,aberratie,poikkeama,aberration,Aberration,पतन,aberrazione,収差,स्वाभाविक,انحراف,aberração,aberație,аберрация,aberración,மனச்சிதைவில்,విశ్లేషణం,مسخ شکل,0,1,0,0,1,0,0,0,0,0
abeyance,abeyance,etena,মুলতবি অবস্থা,suspensius,暂时保留,暫時保留,onbeheerdheid,ratkaisun viipyminen,situation en suspens,Unbewusstheit,दुविधा,disuso,停頓,स्थगिती,تعلیق,inatividade temporária,suspendare,неизвестности,suspensi-,தற்காலிகமாக நிறுத்தி வைத்தல்,నిలుపుదల,آستگت,0,0,0,0,0,0,0,0,0,0
abhor,مقت,gaitzesten,ঘৃণাসহকারে পরিহার করা,avorrir,痛恨,痛恨,verafschuwen,inhota,abhorrer,verabscheuen,घृणा करना,aborrire,忌み嫌います,कमालीचा तिरस्कार,تنفر داشتن از,abominar,detesta,ненавидеть,aborrecer,வெறுப்புக் கொள்,అసహాయపడు,نفرت,0,1,1,0,1,1,0,0,0,0
abhorrent,مشمئز,nazkagarria,জঘন্য,detestable,可恶,可惡,weerzinwekkend,vastenmielinen,odieux,abscheulich,घिनौना,ripugnante,忌まわしいです,भयानक वाटते,زشت,detestável,respingător,отвратительный,aborrecible,அருவருப்பான ஒரு,అసహ్యకరంగా,گھنونا,0,1,1,0,1,1,0,0,0,0
abide,التزم,bete beharko dira,বরদাস্ত করা,acatar,遵守,遵守,vertoeven,asua,demeurer,weilen,रहना,rispettare,守ります,सहन,رعایت,permanecer,rămâne,соблюдать,acatar,தங்கியிருப்பார்கள்,కట్టుబడి,پاسداری,0,0,0,0,0,0,0,0,0,0
ability,القدرة,gaitasuna,ক্ষমতা,capacitat,能力,能力,vermogen,kyky,capacité,Fähigkeit,योग्यता,capacità,能力,क्षमता,توانایی,capacidade,abilitate,способность,capacidad,திறன்,సామర్థ్యం,کی صلاحیت,1,0,0,0,0,0,0,0,0,0
abject,حقير,doilor,শোচনীয়,abjecte,卑劣,卑劣,verachtelijk,viheliäinen,abject,erbärmlich,अधम,abietto,絶望的な,आत्यंतिक,فرومایه,abjeto,abject,презренный,abyecto,மக்கள் படுமோசமான,నికృష్ట,گھور,0,1,0,0,1,0,0,0,0,0
ablation,الاجتثاث,ablation,অপসারণ,ablació,切除,切除,verwijdering,ablation,ablation,Ablation,पृथक करना,ablazione,アブレーション,शस्त्रक्रियेने काढून टाकणे,فرسایش,ablação,ablațiune,абляция,ablación,நீக்கம்,అబ్లేషన్,ablation کے,0,0,0,0,0,0,0,0,0,0
ablaze,مشتعل,ablaze,বহ্নিমান,en flames,炽盛,熾盛,in lichterlaaie,ilmiliekeissä,en feu,in Flammen,जलता हुआ,in fiamme,輝いています,पेटलेले,فروزان,chamejante,aprins,пылать,en llamas,தீவைத்து,మండుతూ,نذر آتش,0,0,0,0,0,0,0,0,0,0
abnormal,غير طبيعي,anormal,অস্বাভাবিক,anormal,异常,異常,abnormaal,poikkeava,anormal,abnormal,असामान्य,anormale,異常な,असामान्य,غیر عادی,anormal,anormal,ненормальный,anormal,அசாதாரண,అసాధారణ,غیر معمولی,0,1,0,0,1,0,0,0,0,0
aboard,على متن سفينة,itsasontzian,জাহাজের উপরে,a bord,船上,船上,aan boord,laivaan,à bord,an Bord,पर सवार,a bordo,乗って,जहाजात,روی,um quadro,la bordul,на борту,a bordo,கப்பலில்,మీదికి,سوار ہوکر,0,0,0,0,0,0,0,0,0,0
abode,مسكن,abode,গৃহ,morada,居,居,woonplaats,asunto,demeure,Wohnsitz,डेरा,dimora,住居,राहिला,منزل,casa,domiciliu,жилище,morada,உறைவிடம்,నివాసం,ٹھکانا,0,0,0,0,0,0,0,0,0,0
abolish,ألغى,indargabetzeko,উঠান,abolir,取消,取消,afschaffen,lakkauttaa,abolir,abschaffen,समाप्त करना,abolire,廃止します,रद्द,از میان بردن,abolir,desființa,отменять,abolir,ஒழிக்கும்,రద్దు,ختم,0,1,1,0,0,0,0,0,0,0
abolition,إلغاء,abolizioa,রদ,abolició,废除,廢除,afschaffing,poistaminen,abolition,Abschaffung,उन्मूलन,abolizione,廃止,नाहीसे,لغو,abolição,desființare,отмена,abolición,ஒழித்தல்,రద్దుచేయడం,خاتمے,0,1,0,0,0,0,0,0,0,0
abominable,مقيت,abominable,জঘন্য,abominable,可恶,可惡,afschuwelijk,iljettävä,abominable,abscheulich,घिनौना,abominevole,忌まわしいです,अमंगळ,زشت,abominável,abominabil,отвратительный,abominable,அருவருப்பான,హేయమైన,گھنونے,0,1,0,0,1,1,0,0,0,0
abomination,رجس,abomination,কদর্যতা,abominació,厌恶,厭惡,gruwel,inhottavuus,abomination,Abscheulichkeit,द्वेष,abominio,醜態,हे भयंकर कृत्ये,عمل شنیع,abominação,scârbă,мерзость,abominación,அருவருப்பானது,అసహాయం,مکروہ,0,1,1,0,1,1,0,0,0,0
aboriginal,بدائي,aborigenen,আদিবাসী,aborigen,土著,土著,inheems,alku-,aborigène,Ureinwohner,आदिवासी,aborigeno,先住民,ऑस्ट्रेलियातील आदिवासी,بومی,aborígene,aborigen,абориген,aborigen,பழங்குடியினர்,ఆదిమ,اصلی النسل,0,0,0,0,0,0,0,0,0,0
abort,إحباط,abortatzeko,গর্ভপাত করান,avortar,退出,退出,afbreken,keskeyttää,avorter,abbrechen,गर्भपात,abortire,中止,गर्भपात करणे,سقط جنین,abortar,avorta,выкинуть,abortar,கலைக்க,విరమింప,اسقاط حمل ہو سکتا,0,1,0,0,0,0,0,0,0,0
abortion,الإجهاض,abortua,গর্ভপাত,avortament,流产,流產,abortus,abortti,avortement,Abtreibung,गर्भपात,aborto,中絶,गर्भपात,سقط جنین,aborto,avort,аборт,aborto,கருக்கலைப்பு,గర్భస్రావం,اسقاط حمل ہو سکتا,0,1,0,0,1,1,0,1,0,0
abortive,ناقص النمو مخفق,abortu,ব্যর্থ,abortiu,未遂,未遂,vruchteloos,epäonnistunut,abortif,abortiv,निष्फल,abortivo,失敗に終わりました,अपयशी,بی ثمر,abortivo,rudimentar,абортивный,abortivo,குறைப்பிரசவம்,ఫలించని,ناکام,0,1,0,0,0,0,0,1,0,0
abound,تكثر,abunda,উড়া,abundar,丰富,豐富,rijk zijn,runsaasti,abonder,reichlich,लाजिमी है,abbondare,たくさんあり​​ます,विपुल,فراوان بودن,abundar,abunda,изобиловать,abundar,அதிக அளவில் உள்ளன,పుష్కలంగా,بھرے,0,0,0,0,0,0,0,0,0,0
abovementioned,المذكور أعلاه,goian aipatutako,উপরে উল্লেখিত,esmentada,上述,上述,bovengenoemde,Edellä mainittujen,mentionné ci-dessus,oben erwähnt,उपरोक्त,sopra citato,上記の,abovementioned,فوق,mencionado acima,menționat mai sus,вышеупомянутый,citada,இக்,abovementioned,مذکورہ بالا,1,0,0,0,0,0,0,0,0,0
abrasion,كشط,urradura,ঘর্ষণ,abrasió,磨损,磨損,schuring,hiertymä,abrasion,Abrieb,घर्षण,abrasione,摩耗,ओरखडा,سایش,abrasão,abraziune,истирание,abrasión,சிராய்ப்பு,రాపిడి,گھرشن,0,1,0,0,0,0,0,0,0,0
abroad,في الخارج,Atzerrian,বিদেশে,a l'estranger,国外,國外,buitenland,ulkomailla,à l'étranger,im Ausland,विदेश में,all'estero,海外で,परदेशात,خارج از کشور,no exterior,în străinătate,за рубежом,en el extranjero,வெளிநாட்டில்,విదేశాలలో,بیرون ملک,0,0,0,0,0,0,0,0,0,0
abrogate,فسخ,derogatzekoa,উচ্ছেদ করা,abrogar,废除,廢除,opheffen,kumota,abroger,außer Kraft setzen,अभिनिषेध करना,abrogare,廃止します,कायदा,لغو کردن,revogar,abroga,отменять,abrogar,இரத்துச்செய்ய,రద్దుచేయాలని,منسوخ,0,1,0,0,0,0,0,0,0,0
abrupt,مفاجئ,Ezusteko handia,আকস্মিক,abrupte,突兀,突兀,abrupt,äkillinen,brusque,abrupt,आकस्मिक,brusco,突然の,अचानक,ناگهانی,abrupto,abrupt,крутой,abrupto,திடீரென,ఆకస్మిక,اچانک,0,0,0,0,0,0,0,0,1,0
abruptly,فجأة,bortizki,হঠাৎ,abruptament,突然,突然,abrupt,äkillisesti,brusquement,schlagartig,एकाएक,improvvisamente,突然,एकाएकी,ناگهان,abruptamente,brusc,резко,abruptamente,திடீரென,అమాంతం,اچانک,0,0,0,0,0,0,0,0,0,0
abscess,خراج,abzesua,ফোড়া,abscés,脓肿,膿腫,abces,paise,abcès,Abszess,फोड़ा,ascesso,膿瘍,गळू,دمل,abscesso,abces,абсцесс,absceso,கட்டி,గడ్డల,ودرد,0,1,0,0,0,0,0,1,0,0
absence,غياب,absentzia,অনুপস্থিতি,absència,缺席,缺席,afwezigheid,poissaolo,absence,Abwesenheit,अनुपस्थिति,assenza,不在,अनुपस्थितीत,عدم,ausência,absență,отсутствие,ausencia,இல்லாத,లేకపోవడంతో,غیر موجودگی,0,1,0,0,0,1,0,1,0,0
absent,غائب,absent,অনুপস্থিত,absent,缺席,缺席,afwezig,poissa,absent,abwesend,अनुपस्थित,assente,ありません,अनुपस्थित,غایب,ausente,absent,отсутствовать,ausente,இல்லாமல்,మతి,غیر حاضر,0,1,0,0,0,0,0,1,0,0
absentee,الغائب,absentismoa,অনুপস্থিত ব্যক্তি,absent,缺席,缺席,afwezige,poissaolija,absent,Abwesende,अनुपस्थित होनेवाला,assente,不在者,अनुपस्थित,شخص غایب,absentista,absent,отсутствующий,ausente,வராதவர்,ఆబ్సెంటీ,غیر حاضر,0,1,0,0,0,0,0,1,0,0
absenteeism,التغيب عن العمل,absentismoa,কর্মক্ষেত্রাদিতে অনুপসি্থত থাকার অভ্যাস,absentisme,旷工,曠工,absenteïsme,poissaolot,absentéisme,Arbeitsversäumnis,कार्य से अनुपस्थित होना,assenteismo,常習的欠勤,अनुपस्थिती,غیبت,absentismo,absenteism,абсентеизм,absentismo,குறைகூறலையடுத்து,హాజరుకాని,غیرحاضری,0,1,0,0,0,0,0,0,0,0
absinthe,الأفسنتين شراب مسكر,absinthe,বৃক্ষবিশেষ,absenta,苦艾酒,苦艾酒,absint,absintti,absinthe,Absinth,चिरायता,assenzio,アブサン,absinthe,ابسنث,absinto,absint,абсент,ajenjo,அப்சிந்தே,అబ్సింతే,absinthe,0,0,0,0,0,0,0,0,0,0
absolute,مطلق,absolutua,পরম,absolut,绝对,絕對,absoluut,absoluuttinen,absolu,absolut,पूर्ण,assoluto,絶対的な,परिपूर्ण,مطلق,absoluto,absolut,абсолютная,absoluto,முழுமையான,సంపూర్ణ,مطلق,1,0,0,0,0,0,0,0,0,0
absolution,غفران,absoluzioa,আত্মসমর্থন,absolució,赦免,赦免,absolutie,synninpäästö,absolution,Absolution,मुक्ति,assoluzione,赦免,धार्मिक विधी,بخشودگی,absolvição,iertare,отпущение грехов,absolución,குற்ற,విమోచనం,گناہ,1,0,0,0,0,0,1,0,0,1
absorbed,يمتص,xurgatu,শোষিত,absorbit,吸收,吸收,geabsorbeerd,imeytyy,absorbé,versunken,लीन,assorbito,吸収されました,गढून गेलेला,جذب,absorvido,absorbită,поглощенная,absorbido,உறிஞ்சப்பட்டு,శోషిత,جذب,1,0,0,0,0,0,0,0,0,0
absorbent,ماص,xurgatzaile,বিশোষক,absorbent,吸水,吸水,absorbens,imukykyinen,absorbant,saugfähig,शोषक,assorbente,吸収剤,शोषक,جاذب,absorvente,absorbant,абсорбент,absorbente,உறிஞ்சக்கூடிய,ఇంకే,جاذب,0,0,0,0,0,0,0,0,0,0
absorbing,امتصاص,xurgatzeko,শোষক,absorció,吸收,吸收,absorberen,imevää,absorbant,absorbierend,अवशोषित,assorbente,吸収します,चित्तवेधक,جاذب,absorção,absorbant,поглощающий,absorción,உறிஞ்சும்,శోషణ,جذب,0,0,0,0,0,0,0,0,0,0
absorption,امتصاص,xurgapen,শোষণ,absorció,吸收,吸收,absorptie,imeytyminen,absorption,Absorption,अवशोषण,assorbimento,吸収,शोषण,جذب,absorção,absorbție,поглощение,absorción,உறிஞ்சுதல்,శోషణ,جذب,0,0,0,0,0,0,0,0,0,0
abstain,امتنع,Abstentzioa,বিরত থাকা,abstenir,避免,避免,zich onthouden,pidättyä,abstention,verzichten,बचना,astenersi,棄権します,राहणे,خودداری کردن,evitar,abține,воздерживаться,abstenerse,விலகியிருப்பதாக,దూరంగా,پرہیز,0,0,0,0,0,0,0,0,0,0
abstention,امتناع,abstentzioa,নিবৃত্তি,abstenció,弃权,棄權,onthouding,tyhjä,abstention,Enthaltung,बचाव,astensione,棄権,मतदानात तटस्थ राहणे,خودداری از دادن رای,abstenção,abținere,воздержание,abstención,"வாக்களிக்காதது,",వినియోగించుకోకపోవడం,روزے,0,0,0,0,0,0,0,0,0,0
abstinence,تقشف,abstinentzia,পরিহার,abstinència,节制,節制,onthouding,pidättyvyys,abstinence,Abstinenz,संयम,astinenza,禁欲,मदिरावर्जन,پرهیز,abstinência,abstinență,воздержание,abstinencia,"தவிர்ப்பதால்,",సంయమనాన్ని,پرہیز,0,0,0,0,0,0,0,0,0,0
abstract,ملخص,abstract,বিমূর্ত,resum,抽象,抽象,abstract,abstrakti,abstrait,Zusammenfassung,अमूर्त,astratto,抽象,गोषवारा,چکیده,resumo,abstract,абстрактный,abstracto,சுருக்கம்,నైరూప్య,خلاصہ,0,0,0,0,0,0,0,0,0,0
abstraction,التجريد,abstrakzioa,বিমূর্তন,abstracció,抽象化,抽象化,abstractie,abstraktio,abstraction,Abstraktion,मतिहीनता,astrazione,抽象化,लपवण्याची,انتزاع,abstração,abstracție,абстракция,abstracción,சாராம்சம்,సంగ్రహణం,تجرید,0,0,0,0,0,0,0,0,0,0
absurd,سخيف,absurdu,কিম্ভুতকিমাকার,absurd,荒唐,荒唐,absurd,järjetön,absurde,absurd,बेतुका,assurdo,ばかげました,हास्यास्पद,پوچ,absurdo,absurd,абсурд,absurdo,அபத்தமான,అసంబద్ధ,مضحکہ خیز,0,1,0,0,0,0,0,0,0,0
absurdity,سخافة,baina zentzugabekeria,অর্থহীনতা,absurd,荒谬,荒謬,absurditeit,järjettömyys,absurdité,Absurdität,मूर्खता,assurdità,不条理,मुर्खपणा,پوچی,absurdo,absurditate,нелепость,absurdo,அபத்தத்தை,అసంబద్ధత,حماقت,0,1,0,0,0,0,0,0,0,0
abundance,وفرة,ugaritasuna,প্রাচুর্য,abundància,丰富,豐富,overvloed,runsaus,abondance,Überfluss,प्रचुरता,abbondanza,豊富,भरपूर,فراوانی,abundância,abundență,изобилие,abundancia,மிகுதியாக,సమృద్ధి,کثرت,1,1,0,1,1,0,1,0,0,1
abundant,كثير,ugaria,প্রচুর,abundant,丰富,豐富,overvloedig,runsas,abondant,reichlich,प्रचुर,abbondante,豊富な,मुबलक,فراوان,abundante,abundent,обильный,abundante,ஏராளமாக,విస్తారమైన,پرچر,1,0,0,0,0,0,1,0,0,0
abuse,إساءة,tratu txarrak,অপব্যবহার,abús,滥用,濫用,misbruik,hyväksikäyttö,abus,Missbrauch,गाली,abuso,虐待,गैरवर्तन,سوء استفاده,Abuso,abuz,злоупотребление,abuso,தவறாக,దుర్వినియోగం,استعمال کی اطلاع دیں,0,1,1,0,1,1,0,1,0,0
abutment,دعامة,estribuaren,মোড়,contrafort,桥台,橋台,bruggehoofd,rajoittuminen,butée,Angrenzung,सीमा,spalla,橋台,abutment,مجاورت,limite,pilastru,опора,contrafuerte,சார்வு,ఆసరా,abutment کے,0,0,0,0,0,0,0,0,0,0
aby,أبي,Aby,আদেশ,aby,ABY,ABY,aby,aby,aby,aby,Aby,aby,ABY,aby,ABY,aby,aby,абы,aby,Aby,అబే,سے Aby,0,0,0,0,0,0,0,0,0,0
abysmal,سحيق,Film hau,অতল,abismal,深,深,onpeilbaar,pohjaton,épouvantable,miserabel,महासागर की गहराई या पाताल-संबंधी,abissale,ひどいです,फारच वाईट,بی پایان,abismal,abisal,ужасный,abismal,மட்டமாக,అంతులేని,اتھاہ,0,1,0,0,0,0,0,1,0,0
abyss,هاوية,Amildegitik,রসাতল,abisme,深渊,深淵,afgrond,syvyys,abîme,Abgrund,रसातल,abisso,深淵,अथांग,پرتگاه,abismo,abis,пропасть,abismo,பள்ளத்தை,అగాధం,اتاہ کنڈ,0,1,0,0,0,1,0,1,0,0
academic,أكاديمي,akademikoa,একাডেমিক,acadèmic,学者,學者,academische,akateeminen,académique,Wissenschaftler,शैक्षिक,accademico,アカデミック,शैक्षणिक,علمی,acadêmico,academic,учебный,académico,கல்வி,విద్యా,تعلیمی,1,0,0,0,0,0,0,0,0,1
academy,الأكاديمية,akademia,শিক্ষায়তন,acadèmia,学院,學院,academie,akatemia,académie,Akademie,अकादमी,accademia,アカデミー,अकादमी,فرهنگستان,academia,academie,академия,academia,அகாடமி,అకాడమీ,اکیڈمی,1,0,0,0,0,0,0,0,0,0
accede,الانضمام,atxikiko,দলে যোগ দেত্তয়া,accedir a,加入,加入,toetreden,liittymään,accepter,zustimmen,मान लेना,aderire,同意します,रुकार,تن در دادن,aderir,adera,присоединяться,acceder a,இணங்காவிடில்,మౌనంగా,قبول,0,0,0,0,0,0,0,0,0,0
accelerate,تسارع,azkartzeko,দ্রুততর করা,accelerar,加快,加快,versnellen,kiihdyttää,accélérer,beschleunigen,में तेजी लाने के,accelerare,加速します,गती,شتاب دادن,acelerar,accelera,ускорять,acelerar,முடுக்கி,వేగవంతం,رفتار کو تیز تر,0,0,0,1,0,0,0,0,0,0
acceleration,تسارع,azelerazio,ত্বরণ,acceleració,促进,促進,acceleratie,kiihtyvyys,accélération,Beschleunigung,त्वरण,accelerazione,加速,प्रवेग,شتاب,aceleração,accelerare,ускорение,aceleración,முடுக்கம்,త్వరణం,ایکسلریشن,0,0,0,0,0,0,0,0,0,0
accent,لهجة,azentu,স্বরাঘাত,accent,口音,口音,accent,aksentti,accent,Akzent,उच्चारण,accento,アクセント,उच्चारण,لهجه,acento,accent,акцент,acento,உச்சரிப்பு,యాస,تلفظ,0,0,0,0,0,0,0,0,0,0
accentuate,التأكيد,areagotu,উচ্চারণ করা,accentuar,突出,突出,accentueren,painottaa,accentuer,akzentuieren,दबाव का चिह्न,accentuare,際立たせる,उठाव,با تکیه تلفظ کردن,acentuar,accentua,акцентировать,acentuar,கொடு,తగిన,زور ڈالنا,0,0,0,0,0,0,0,0,0,0
accept,استعرض,onartu,গ্রহণ করা,acceptar,接受,接受,aanvaarden,hyväksyä,accepter,akzeptieren,स्वीकार करना,accettare,受け入れます,स्वीकार,پذیرفتن,aceitar,accepta,принимать,aceptar,ஏற்க,అంగీకరించాలి,قبول کریں,0,0,0,0,0,0,0,0,0,0
acceptable,مقبول,onargarria,গ্রহণযোগ্য,acceptable,可接受,可接受,aanvaardbaar,hyväksyttävä,acceptable,akzeptabel,स्वीकार्य,accettabile,許容可能な,मान्य,قابل قبول,aceitável,acceptabil,приемлемый,aceptable,ஏற்றுக்கொள்ளக்கூடிய,ఆమోదయోగ్యమైన,قابل قبول,1,0,0,0,0,0,0,0,0,0
acceptance,قبول,onarpena,স্বীকৃতি,acceptació,验收,驗收,aanvaarding,hyväksyminen,acceptation,Akzeptanz,स्वीकार,accettazione,受け入れ,स्वीकृती,پذیرش,aceitação,acceptare,принятие,aceptación,ஏற்பு,అంగీకారం,قبولیت,1,0,0,0,0,0,0,0,0,0
access,وصول,sarbidea,প্রবেশ,accés,访问,訪問,toegang,pääsy,accès,Zugriff,पहुंच,accesso,アクセス,प्रवेश,دسترسی,Acesso,acces,доступ,acceso,அணுகல்,యాక్సెస్,رسائی,0,0,0,0,0,0,0,0,0,0
accessible,يمكن الوصول إليها,irisgarria,প্রবেশযোগ্য,accessible,访问,訪問,toegankelijk,saatavilla,accessible,zugänglich,सुलभ,accessibile,アクセス可能な,प्रवेश,در دسترس,acessível,accesibil,доступной,accesible,அணுக,అందుబాటులో,قابل رسائی,1,0,0,0,0,0,0,0,0,0
accession,الانضمام,Atxikitze,সংযোজন,adhesió,加入,加入,toetreding,liittyminen,accession,Beitritt,परिग्रहण,accessione,加盟,पदग्रहण,ورود,adesão,acces,вступление,adhesión,இணக்கத்திற்கான,పట్టాభిషేక,الحاق,0,0,0,0,0,0,0,0,0,0
accessory,ملحق,osagarri,আনুষঙ্গিক,accessori,附件,附件,medeplichtig,lisävaruste,accessoire,Zubehörteil,सहायक,accessorio,アクセサリー,ऍक्सेसरीसाठी,فرعی,acessório,accesoriu,аксессуар,accesorio,துணை,అనుబంధ,تخشنگی,0,0,0,0,0,0,0,0,0,0
accident,حادث,istripua,দুর্ঘটনা,accident,事故,事故,ongeval,onnettomuus,accident,Unfall,दुर्घटना,incidente,事故,अपघात,تصادف,acidente,accident,авария,accidente,விபத்து,ప్రమాదంలో,حادثے,0,1,0,0,0,1,0,1,1,0
accidental,عرضي,akzidental,আপতিক,accidental,偶然,偶然,toevallig,satunnainen,accidentel,zufällig,आकस्मिक,accidentale,不慮,अपघाती,تصادفی,acidental,accidental,случайный,accidental,தற்செயலான,ప్రమాదవశాత్తు,حادثاتی,0,1,0,0,0,1,0,0,1,0
accidentally,من غير قصد,ustekabean,ঘটনাক্রমে,accidentalment,偶然,偶然,toevallig,vahingossa,accidentellement,zufällig,अकस्मात,accidentalmente,誤って,चुकून,به طور تصادفی,acidentalmente,accidental,случайно,accidentalmente,தற்செயலாக,అనుకోకుండా,اتفاقی طور پر,0,0,0,0,0,0,0,0,1,0
accolade,احتضان,Errekonozimendu,প্রশংসা,recolzament,奖项,獎項,accolade,kunnianosoitus,accolade,Akkolade,पुरस्कार,encomio,栄誉,प्रशंसा,ستایش,elogio,acoladă,акколада,espaldarazo,பட்டத்திற்கு,పురస్కారం,accolade کے,1,0,0,1,0,0,1,0,1,1
